Title,Company,Location,Salary,Summary
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Software Support Executive,Infosoft Solutions,Nan,"₹10,000 - ₹20,000 a month","Be able to understand nature of client issues and resolve them in timely and efficient manner. Responsible for resolving client issues via Live Chat, Email,…"
Java Web Developer,CIEL HR,Nan,"₹20,000 - ₹45,000 a month",Java SE 7 Programmer (Preferred). The candidate will have the opportunity to work with various international clients on a Java Web architectures and Platforms…
opencart Developer Required,Feosys Technologies,Nan,"₹7,000 - ₹20,000 a month","Opencart Developer Required with skills of opencart extension development, opencart theme customizatioin, html, css, jquery, bootstrap."
shopify developer,Weenggs Technology,Nan,"₹10,000 - ₹30,000 a month",Urgent looking for shopify developer. Strong knowledge of liquid file customization. Generate custom - tailored Shopify theme and altering pre - existing…
Mobile App Developer,Onus Infotech,Nan,"₹16,000 - ₹45,000 a month",We are looking for experienced Android and iOS(Swift) Application Developer. Should be comfortable with below technical skills then send us your resume.
Flutter Developer,Server Wala Data Centers Pvt.Ltd,Nan,"₹15,000 - ₹35,000 a month","Javascript, swft, java, flutter, Dart, google map , Deploying. Minimum 1 to 2 years."
Software Tester,WebContrive,Nan,"₹10,000 - ₹18,000 a month",We are looking for an experienced and passionate Software Tester to join our team. Analyzing users stories and/use cases/requirements for validity and…
Software Tester (Fresher),EC2 Consulting Solutions,Nan,"₹10,000 - ₹20,000 a month",Any graduate fresher can apply. We are looking for a QA Tester to assess software quality through manual and automated testing.
Flutter Developer,Kartum Infotech,Nan,Nan,Experience with Java and/or Swift/Objective-C. Minimum of 3 years of development experience. Interested candidates can send their CV on info@kartuminfotech.com.
"BCA Fresher, Software Support Executive",ASK EHS Engineering & Consultants Pvt Ltd,Nan,Nan,Support to our developer for client coordination. Visit & Stay at client location for implementation assistance to client ranging from 1 week to 3 months in…
Android Developer,Freshcodes Technology,"Surat, Gujarat","₹15,000 - ₹20,000 a month","Intents, Services, Receivers, Content Providers, Multithreading, Dependency injection(Dagger, Butterknife), Rx Java, Job Queue,. Android Studio & web services."
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: … Conducting and UAT and Sign-offs on site of client premises.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,Freshcodes Technology,"Surat, Gujarat","₹15,000 - ₹20,000 a month","Android Studio & web services. … Intents, Services, Receivers, Content Providers, Multithreading, Dependency injection(Dagger, Butterknife), Rx Java, Job Queue,."
Business Development Executive (Software Company),Wingmaxx Technologies,Nan,"₹15,000 - ₹20,000 a month",Keep the prospective client database updated. … Excellent communication skills with the ability to study requirements from the client.
Flutter Developer,Server Wala Data Centers Pvt.Ltd,Nan,"₹15,000 - ₹35,000 a month","Javascript, swft, java, flutter, Dart, google map , Deploying. … Minimum 1 to 2 years."
Software Developer,Magnitude Software,Nan,Nan,4 to 5 years of experience designing and building software. Experience in VB6 / VB .NET a must. Experience developing in the Microsoft technology stack.
Software Tester,Triveni Global Software Services LLP,Nan,"₹1,00,000 - ₹2,00,000 a year",Greetings from Triveni Global Software Services LLP! … Any post graduate with the above mentioned skill set. … 1st and 3rd Saturday week off.
Android Developer,Gravity It Hub,Nan,"₹12,000 - ₹15,000 a month",You will be working along-side other engineers and developers working on different layers of the infrastructure. … Identify and correct bottlenecks and fix bugs.
Software Tester,Elite Technocrats,Nan,Nan,Work with software developers and support teams to analyse the market and client requirements. … Giving mandatory information of a defect / Bug / Error to…
Need Angular Developer,Xwiser,Nan,Nan,This job opening is for frontend developer also full stake developer will be most welcomed and chaces of hire is more for full stake developer.
shopify developer,Weenggs Technology,Nan,"₹10,000 - ₹30,000 a month",Urgent looking for shopify developer. … Strong knowledge of liquid file customization. … Generate custom - tailored Shopify theme and altering pre - existing…
Fresher Android Developer,Canopas Software,Nan,"₹1,00,000 - ₹3,60,000 a year","Focus on delivering value to the customer. … Java, Kotlin, Mysql, Git, Android SDK, XML, Android Studio. … Stipend for the fresher developer during training."
Software Tester,DVdasJobs.com,Nan,"₹10,000 - ₹25,000 a month",Looking for Software Tester profile who have minimum 6 Month of Experience in any company.
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Web Service Calling using Retrofit. … Develop app as per requirement. Develop product for play store. … Android, Java, UI/UX, Retrofit, SQLLite."
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. … Should be very strong in Android, Java, Android native development."
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,Freshcodes Technology,"Surat, Gujarat","₹15,000 - ₹20,000 a month","Intents, Services, Receivers, Content Providers, Multithreading, Dependency injection(Dagger, Butterknife), Rx Java, Job Queue,. Android Studio & web services."
Android Developer (Fresher),EC2 Consulting Solutions,Nan,"₹8,000 - ₹10,000 a month","JAVA, XML, Android SDK, Android Studio, APIS, Databases. We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the…"
Project Manager - Software Company,Embtel Web Solutions,Nan,"₹25,000 - ₹50,000 a month",Work with territory services managers to ensure that the financial forecast is up to date for their respective projects.
Cloud Software Support / Trainer,Orail - OptigoApps,Nan,"₹1,44,000 - ₹2,50,000 a year","Orail, 523, 1st Floor, World Trade Center, Ring Road, Surat-395002. BCA, B.Com, B.Sc Computer, Diploma Computer Engineering."
Sr. Software Developer,Abound ERP Pvt Ltd,Nan,"₹2,50,000 - ₹4,00,000 a year",Should have Knowledge of TDL. Work Experience of 3+ Years. Able to Understand Requirement and Deliver the same in Time.
IT Software Bidder,LaMinds,Nan,"₹10,000 - ₹40,000 a month",0.5-4 years of IT experience in BD. Online bidding and build business for the company. Creating estimates for the leads generated from portals.
Android Application Developer,Maktech,Nan,"₹8,000 - ₹12,000 a month","Candidate required minimum 1 yr of experience in android application development. Required Experience, Skills and Qualifications*."
Android Developer,Avinashi Ventures Pvt Ltd,Nan,"₹8,000 - ₹10,000 a month","Excellent Knowledge of Core Java. Knowledge of core Java Programming & Android SDK. Design, build, maintain high performance, reusable and reliable Java Code."
33356 - Software Developer,Midday jobs,Nan,"₹40,000 a month","Experience in ASP.Net/C# Web Forms/MVC and in SQL Server • Additional Skills - REST APIs, Google APIs, Power BI, NoSQL, Bootstrap, jQuery, JavaScript, Web API,…"
Android Developer,Coldfin Lab Pvt.Ltd.,Nan,"₹12,000 - ₹15,000 a month","Coldfin lab is Looking for minimum experience Android Developer. Should be very strong in Android, Java, Android native development."
Java Web Developer,CIEL HR,Nan,"₹20,000 - ₹45,000 a month",Java SE 7 Programmer (Preferred). The candidate will have the opportunity to work with various international clients on a Java Web architectures and Platforms…
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,XcodeTechnosys,Nan,"₹7,000 - ₹10,000 a month",We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.
Android Developer,Lakshya Export,Nan,"₹10,000 - ₹20,000 a month",We Urgently looking for Android Developer with minimum 1 year of experience. Knowledge of core Java Programming & Android SDK.
React Native Developer,Embtel Web Solutions,Nan,"₹25,000 - ₹50,000 a month",We are looking for a React Native developer interested in building performant mobile apps on both the iOS and Android platforms. Git knowledge is a plus.
Position: Laravel Developer,Urmila Raghupati Pvt. Ltd.,Nan,"₹1,50,000 - ₹4,20,000 a year","Minimum 1.5 to 3 Years of experience only in Laravel. Required Experience, Skills and Qualifications*. CORE PHP, Laravel, HTML5 CSS3, Jquery, Ajax, Strong OOP…"
Angular Developer,La Net Team Software Solutions,Nan,"₹15,000 - ₹30,000 a month",Please visit us @ www.lannetteam.com for more info. We are looking for a passionate Angular Developer to join our team.
Php devloper,Kareliya InfoTech,Nan,"₹10,000 - ₹30,000 a month","We are looking for PHP Developer. Experience with the following technologies - PHP , MySQL, Jquery & Java Script. Problem-solving, innovation skills are a must."
Oracle Developer,IT Solution,Nan,"₹2,00,000 - ₹3,60,000 a year","Company works on Java technology, but below position is for another project. We are working with this client since last 11yrs. Only Surat candidates can apply."
Android Developer,Dvdasjobs.com,Nan,"₹10,000 - ₹20,000 a month",Typical day-to-day duties and in-demand skill sets for mobile application developers include:  Solid understanding of the full mobile development life cycle.
Android Developer,Zitrone Solutions,Nan,"₹13,000 - ₹20,000 a month",We need a developer who can Work in team. At Zitrone Solutions we need a Experienced Candidate for Android Development at Surat. Working Hours – 9:00 – 6:00.
Android Developer,Infotech Appss,Nan,"₹15,000 - ₹31,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,Apps World Infotech,Nan,"₹15,000 - ₹30,000 a month","Required Minimum Experience of 1 years in Android Application Development Proficiency in Java/Android architecture Should have a good knowledge of Java,…"
Unity Game (3D ) Developer - IT Industry,I Place Consultancy,Nan,"₹10,000 - ₹25,000 a month","Job Description of Unity Game Developer : Experience with the Android SDK, java, NDK, C++. We have urgent opening for Unity Game (3D) Developer in IT company."
Android Application Developer,Mango Education,Nan,Nan,Minimum 1 years (Please do not contact us without a proper experience). We are looking for full-time Android App Developers (Experienced only).
PHP Developer,Homebethe E-Commerce Private Limited,Nan,"₹15,000 - ₹20,000 a month","Good Knowledge of jQuery, Ajax, Java Script, HTML, CSS including extending existing functionality, creating custom modules. Good JavaScript & AJAX skills."
Software Tester (QA),Bigscal Technologies Pvt Ltd,Nan,"₹3,00,000 - ₹6,00,000 a year",Minimum 3 years and above. We are looking for an experienced and passionate QA engineer to join our team. Analyzing users stories and/use cases/requirements for…
Android(c and c++),Vasundhara Vision,Nan,"₹1,00,000 - ₹3,00,000 a year","We Required Android Developer who has solid knowledge of Android Application lifecycle, can manage and lead a team effectively, drive them and made them subm*…"
Android Developer,Origin Infotech,Nan,"₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer (1+ Year Experience),Lembark Solutions,Nan,"₹10,000 - ₹25,000 a month",Proficient in Java for Android Implementations. We are looking for a passionate and enthusiastic Android Developer to join the team.
PHP Developer,Escrow Jobs,Nan,Nan,"Hiring for a person who must have a knowledge of a core PHP, Jquery, Json, Java Script,HTML5, CSS3, SQL, NoSql,GIT , Laravel (optional)."
Android Developer,Weenggs Technology,Nan,"₹10,000 - ₹25,000 a month","Building and Designing advanced Android applications for Android platform. Cross-functional team collaboration to design, define and ship new features."
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Fresher Android Developer,Canopas Software,Nan,"₹1,00,000 - ₹3,60,000 a year","Stipend for the fresher developer during training. Java, Kotlin, Mysql, Git, Android SDK, XML, Android Studio. Focus on delivering value to the customer."
Android Developer (1+ Year Experience),Lembark Solutions,Nan,"₹10,000 - ₹25,000 a month",Proficient in Java for Android Implementations. We are looking for a passionate and enthusiastic Android Developer to join the team.
Android Developer,Origin Infotech,Nan,"₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Web Developer,Desiluk Fashion Pvt Ltd,Nan,Nan,"Thorough functional knowledge and coding experience, Basic knowledge of Search Engine Optimisation, Ability to multitask with strict time constraints, budgets…"
Android Developer,Gravity It Hub,Nan,"₹12,000 - ₹15,000 a month",You will be working along-side other engineers and developers working on different layers of the infrastructure. Identify and correct bottlenecks and fix bugs.
looking for senior UNITY game devloper,lefpro Technologies,Nan,"₹20,000 - ₹45,000 a month","Experience with the Android SDK, java, NDK, C++. We are a game development company in unity we need more developer for UNITY platform."
Business Development Executive (Software Company),Wingmaxx Technologies,Nan,"₹15,000 - ₹20,000 a month",Keep the prospective client database updated. Excellent communication skills with the ability to study requirements from the client.
Php devloper,Kareliya InfoTech,Nan,"₹10,000 - ₹30,000 a month","We are looking for PHP Developer. Experience with the following technologies - PHP , MySQL, Jquery & Java Script. Problem-solving, innovation skills are a must."
Internship cum Placement Program for Software Trainee,nopAccelerate,Nan,Nan,Ability to complete all phases of software development life cycle. Candidate should be any graduate/post graduate in Computer Science or related degree program.
(Fresher) Android Developer,VRUNDEV INFOTECH,Nan,Nan,Knowledge of core Java Programming & Android SDK. We are looking for a fresher who can develop an amazing user experience app on Android Platform with Android…
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,AppKliq,Nan,"₹8,000 - ₹15,000 a month","We Required a Android Developer who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,Weapplinse Technology,Nan,"₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Software Developer,Avid Placement,Nan,Nan,"Hiring on urgent basis , please update your resumes and apply asap .. Training shall be provided with salary :"
looking for senior UNITY game devloper,lefpro Technologies,Nan,"₹20,000 - ₹45,000 a month","Experience with the Android SDK, java, NDK, C++. We are a game development company in unity we need more developer for UNITY platform."
Android Developer,Instance IT Solutions,Nan,Nan,"Design, build and maintain high performance, reusable, and reliable Java code. Development of Android applications and their integration with back-end services."
Software Support Executive,Galaxy Infotech,Nan,"₹10,000 - ₹15,000 a month",We are looking for Software support Executive who are experts at programming using VB.net and Microsoft SQL Server. Proficiency in VB.NET and VB.NET MVC.
.net mvc developer,L&T Hazira (Contract base),Nan,"₹15,000 - ₹25,000 a month","Responsibilities and Duties * 1 year experience as .net mvc developer  Key Skills* Job Type: Full-time Salary: ₹15,000.00 to ₹25,000.00 /month…"
"Software Tester, QA, Quality Assurance",Kartum Infotech,Nan,Nan,Clearly document all software bugs to allow developers to easily reproduce the issues. Interested candidates can send their CV on info@kartuminfotech.com.
(Fresher) Android Developer,VRUNDEV INFOTECH,Nan,Nan,Knowledge of core Java Programming & Android SDK. We are looking for a fresher who can develop an amazing user experience app on Android Platform with Android…
"Quality Assurance Executive (Software), Manual Tester",ASK EHS Engineering & Consultants Pvt Ltd,Nan,Nan,Integrate the security testing activity into the development/testing life cycle. Coordinate with other team members. Participate in Test estimation plan.
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Android Developer,Nexus Infotechno Inc,Nan,"₹10,000 - ₹30,000 a month","Building and Designing advanced Android applications for Android platform. Cross-functional team collaboration to design, define and ship new features."
Software Quality Assurance Tester,Atologist Infotech,Nan,Nan,"Giving mandatory information of a defect / Bug / Error to developers in order to fix it. Prepare test cases for module, integration and system testing."
Android Developer,Cousins Infotech,Nan,Nan,"If interested, please send your CV on career@cousinsinfotech.com. Strong Programming skills of C , C ++, Java,OOPS."
Android Developer,VK solutions,Nan,"₹10,284 - ₹33,063 a month","Java, Android development, Android Studio, Git, Github, Android SDK Job Types: Full-time, Part-time, Temporary Salary: ₹10,284.00 to ₹33,063.00 /month…"
Android Developer,EC2 Consulting Solutions,Nan,"₹15,000 - ₹45,000 a month","JAVA , XML, Android SDK, APIS, Databases, Android. Solid understanding of the full mobile development life cycle. Work with outside data sources and APIs."
Android Application Developer,TemplateMela Design Institute,Nan,"₹15,000 - ₹30,000 a month","Java (J2EE / J2ME ) and database technologies (SQLite, MySQL or similar). We are looking for talented and experienced Android Developer for our new unit of…"
Web/Software,Quad Softtech,Nan,Nan,6)Keep up to date on the latest industry trends in the technologies. 4)Solid understanding of the full mobile development life cycle.
IT / Software Engineer,TriveniEthnics,Nan,Nan,"Maintain and manage the company's IT systems, including desktops, servers, and handle issues of tech support, backup, networking, and more."
Android Developer (Minimum 1 year exp. ),sahajanand infotech,Nan,"₹8,000 - ₹25,000 a month",We Urgently looking for Android Developer with minimum 1 year of experience. Knowledge of core Java Programming & Android SDK. 2nd and 4th saturday is half day.
Sales Booster Executive,Arihant IT Solutions,Nan,Nan,"PHP, Java, Database, Social Media Integration, SEO, Software developer. Opening For the Post of Smart PHP Developer :-. Best as per the market trend."
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
