Title,Company,Qualifications,Description,Location
Security Analyst,Cloud24x7 Private Limited,BE/B.Tech,"Responsibilities and Duties:Manage a fleet of firewalls such as FortiGate, PaloAlto, SonicWALL, Sophos, Cyberoam, and WatchGuard, including...",Ahmedabad
Admin Executive,Scanpoint Geomatics Limited,BA,Register with Teamlease to apply online for similar kind of Admin Executive jobs....,Ahmedabad
Beautician,Getlook,BHM,Register with Teamlease to apply online for similar kind of Beautician jobs....,Ahmedabad
Content Writer,Datasoft Technology Solutions,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Digital Marketing Executive,OJCT Digicom PVT. LTD.,Any Post Graduate,LTD. - Ahmedabad. A digital marketing executive is typically responsible for engaging a brand with customers or clients via the digital spa...,Ahmedabad
Data Entry Operator Computer Operator,NVD Technology Services Pvt. Ltd,BA,Ltd. Register with Teamlease to apply online for similar kind of Data Entry Operator Computer Operator jobs....,Ahmedabad
Tele Sales Executive,iiiEM Global Training Pvt.Ltd.,BA,Ltd.. Register with Teamlease to apply online for similar kind of Tele Sales Executive jobs....,Ahmedabad
MIS Executive,GTPL Broadband Pvt. Ltd.,B.Com,Ltd.. Register with Teamlease to apply online for similar kind of MIS Executive jobs....,Ahmedabad
MIS Executive,MSquare Media,10th Pass (SSC),Register with Teamlease to apply online for similar kind of MIS Executive jobs....,Ahmedabad
Field Sales Executive,Jobs On Sight International,Diploma,We are looking for a Deligent Sales Executive to help us build up our business activities. Sales Executive responsibilities inclu...,Ahmedabad
Bartender,Citizen Industries,12th Pass (HSE),Register with Teamlease to apply online for similar kind of Bartender jobs....,Ahmedabad
Event Manager,BONHOMIE SPORTS EVENT MANAGEMENT PRIVATE LIMITED,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Event Manager jobs....,Ahmedabad
Delivery Boy,Ezy Fruits,10th Pass (SSC),We need fruit box delivery boy in Ahmedabad.You can also join part-time if you are a student.Time: 10 to 5 or 10 to 6Salary: No bar ...,Ahmedabad
CASHIER,KANNELITE FACILIY MANAGEMENT SERVICES Pvt Ltd,B.Com,Register with Teamlease to apply online for similar kind of CASHIER jobs....,Ahmedabad
Technical Content Writer,Lease Manpower,BA,Register with Teamlease to apply online for similar kind of Technical Content Writer jobs....,Ahmedabad
Asp.net developer,SIAnalytic,Diploma,"net Developer Jobs in SIAnalytic - Ahmedabad. We are in the fields of developing Content Management Systems, website / Portals designing, an...",Ahmedabad
Technical Content Writer,Agile Infoways Pvt. Ltd.,Diploma,Ltd.. Register with Teamlease to apply online for similar kind of Technical Content Writer jobs....,Ahmedabad
Seo Content Writer,OJCT Digicom PVT. LTD,BA,LTD. Register with Teamlease to apply online for similar kind of Seo Content Writer jobs....,Ahmedabad
Content Writer,Svitch Bike,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
ITI Electrician,Pranshi Placement,Certificate Course (ITI),Register with Teamlease to apply online for similar kind of ITI Electrician jobs....,Ahmedabad
Diploma electrician,TRINITY ENGINERS,Certificate Course (ITI),Register with Teamlease to apply online for similar kind of Diploma electrician jobs....,Ahmedabad
Content Writer,Vishwas Group Of Companies,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Marketing Engineer - Precision Components,Senor Metals Pvt. Ltd.,Diploma,Ltd. - Ahmedabad. Marketing Engineer - Precision Components - Ahmedabad (Prahladnagar Satellite)Education : Diploma / BE (Mechanical)Experi...,Ahmedabad
Content Writer,Quarec Resources Pvt.Ltd.,BA,Ltd.. Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Multicodes Services PVT. LTD.,BA,LTD.. Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Marketing Executive - Precision Components,Senor Metals Pvt. Ltd.,Any Graduate,Ltd. - Ahmedabad. Marketing Executive - Precision Components - AhmedabadEducation : Any Graduate. Preferable Diploma MechanicalExperience :...,Ahmedabad
Client Servicing Executive,SI Placements Internationals,Diploma,"We are Hiring for CSE at Ahmedabad Location.Dear Candidates,We are Hiring For MNC Companies at Ahmedabad Location.If you want to apply to ...",Ahmedabad
Business Development Executive,Roy Overseas Services,B.Arch,Responsibilities and DutiesDesignation: Business Development Executive cum Tele-CounsellorIndustry: EducationCandidate Profile:Should have ...,Ahmedabad
Talent Acquisition Executive,Falcon Heights HR Management,Certificate Course (ITI),• Managing the recruitment life-cycle for sourcing the best talent from diverse sources after identification of manpower requirements for...,Ahmedabad
PHP Developer,Universal Stream Solution,Any Graduate,PHP Developer (Exp. 1-2.5 years) Position - 4Minimum 1 Years working experienceSound knowledge of Core PHP & Code Igniter.(MUST)St...,Ahmedabad
Pre sales Executive,Talent Corner HR Services Pvt Ltd,BE/B.Tech,It is a techno commercial role so candidates with technical background & excellent English communication will only be consideredSound t...,Ahmedabad
Senior Accountant,AMBICA TAPTEX PRIVATE LIMITED,CA,Register with Teamlease to apply online for similar kind of Senior Accountant jobs....,Ahmedabad
Full Stack Developer,MPower Business Facilitators Ltd,BE/B.Tech,"Strong knowledge of any PHP MVC framework (Yii preferred)Strong Knowledge in JavaScript, jQuery etcStrong Knowledge of Relational Databases...",Ahmedabad
Business Development Executive,Prishusoft,Diploma,"Dear Candidate, Greetings from Prishusoft, We are having a vacancy for a Business Development Executive. Location: Ahmedabad...",Ahmedabad
Jr. Magento Developer,Magneto IT Solutions,BCA,Magento Developer Jobs in Magneto IT Solutions - Ahmedabad. Job Title: Jr. Magento DeveloperLocation: AhmedabadVacancy: 2+Experience: Min. ...,Ahmedabad
Wordpress developer,Magneto IT Solutions,BCA,Job Title: WordPress DeveloperLocation: AhmedabadVacancy:  2Experience: 2-3 YrsQualification: Any IT/Computer Degree/Bachelor Degree M...,Ahmedabad
Laravel Developer,Magneto IT Solutions,BCA,Job Title: Laravel DeveloperLocation: AhmedabadVacancy: 2Experience: 2-4 YrsQualification: Any IT/Computer Degree/Bachelor Degree Must.CTC:...,Ahmedabad
Back Office Executive,3Q pvt ltd,B.Com,"We required sales person who can peach our product smartly in market, generate lead from online surfing, and hard core sales for retail bus...",Ahmedabad
Business Development Executive,Aarav Web Solutions,BCA,Job Responsibilities: Creating strategies to increase online traffic to the organization's website Tracking the conversions and i...,Ahmedabad
Marketing Executive,Technosource,B.Com,We are looking for a talented Marketing Executive to undertake marketing projects for the benefit of our company. You will o...,Ahmedabad
Web Designer,TAVAT Consultancy LLP,BCA,"Ability to design for any device and platform, providing intuitive, functional visual solutions and user experiences.A strong basis in typo...",Ahmedabad
Back Office Executive,Limited Edition,B.Com,Key Task: He or She should comfortable with MS Excell.He or She should comfortable with the Internet.And also comfortable with E-Mail....,Ahmedabad
Business Development Executive,Naresh cloth store,BCA,"Job Duties:
Identifies business opportunities by identifying prospects and evaluating their position in the industry; researchin...",Ahmedabad
Direct Sales Professionals,Vitalhunt Global Solutions Pvt. Ltd,Certificate Course (ITI),Ltd - Ahmedabad. Forbes and Fiki Certified No 1 Direct selling Company in World is looking forDirect Sales professionalsJob DetailsLocality...,Ahmedabad
Blockchain Developer,SoluLab Inc,BE/B.Tech,Should have basic Knowledge about hyper ledger and ethereum.Should have good communication skills and should have good academic record...,Ahmedabad
Intern PHP Developer,Ashapura Softech Pvt. Ltd.,BE/B.Tech,"Ltd. - Ahmedabad. ASPL is welcoming #Project Trainees #Interns Technologies which we offer for Internship - PHP-MVC Frameworks, Javasc...",Ahmedabad
Digital Advertising Executive,Left & Right,B.Com,"Manage the strategy and setup of all paid campaigns.Thorough knowledge of Digital campaigns with planning experience on Google Adwords, SEO...",Ahmedabad
Business Development Manager,Company in Computer hardware manufacturer,MBA/PGDM,"Used to Work and develop a strategic alliance and Business development in the fields like machine vision Automation, IEM product developmen...",Ahmedabad
Web Developer,Magitt Consultancy,Diploma,About Magitt Consultancy (): Magitt provides complete IT solutions. Digital is in our DNA and we also shape your online presence according ...,Ahmedabad
UI developer,For a client of TeamLease Services Ltd,BCA,ltd - Ahmedabad. We are looking for a Sr. UI Developer who is motivated to combine the ...,Ahmedabad
Quality Assurance- Selenium,For a client of TeamLease Services Ltd,BCA,ltd - Ahmedabad. We are looking for a QA Engineer with good experience in testing business applications to ...,Ahmedabad
Sr.Sales Engineer,Optimum Future,BE/B.Tech,Sales Engineer Jobs in Optimum Future - Ahmedabad. Identify business opportunities and target marketsMake initial customer contact through v...,Ahmedabad
Sales Manager-Retail Lending Small Ticket Unsecured Loans,Aditya Birla Management Corporation Pvt. Ltd.,Any Graduate,Ltd. - Ahmedabad. Sales Manager-Retail Lending Small Ticket Unsecured LoansOrganization: Aditya Birla Finance LimitedJob Description:To con...,Ahmedabad
Software Engineer - Developer,Third Rock Techkno,BE/B.Tech,"We are looking for a passionate Software Engineer to design, develop and deploy software solutions.In this role, you should be a team playe...",Ahmedabad
Relationship Manager-Sales Corporate Finance Group,Aditya Birla Management Corporation Pvt. Ltd.,Any Graduate,Ltd. - Ahmedabad. Relationship Manager-Sales Corporate Finance GroupOrganization: Aditya Birla Finance LimitedJob Description:To achieve sa...,Ahmedabad
Web Content Writer,NyuSoft Solutions,Any Graduate,Opportunity for those who wants to start career again!We are in need of smart and good candidate for Web Content Writer job.Here are ...,Ahmedabad
Clerical Assistant Placement Office,IIM Ahmedabad,B.Com,"Clerical Assistant (Placement Office) recruitment in Indian Institute of Management Ahmedabad (IIMA)Qualification, Experience & Skill R...",Ahmedabad
Unit Manager-Distributor Recruitment,NJ India Invest Pvt Ltd,B.Com,"We have an Urgent Requirement which is mentioned below:
Job Title :Unit Manager-Distributor Recrutiment
...",Ahmedabad
Front Desk Executive,Skyblue Institute of Design,Any Graduate,"Welcoming
persons entering our institute.
...",Ahmedabad
Digital Marketing Executive,Utm pvt.ltd.,Any Post Graduate,ltd. - Ahmedabad. We Need Passionate People For Company Service. To Contribute In The Promotion & Growth Of Our Business Platform.&...,Ahmedabad
Angular JS developer,Quarec Resources PVT LTD,B.Com,"Salary - upto 5 LPAOnce you can call me on this number so you can understand better opportunity.● Experience working with HTML5, CSS, Jav...",Ahmedabad
Business Executive,Utm,Diploma,we are hiring candidates who have basic computer skill and can promote our tour and travel services on various websites. You can earn ...,Ahmedabad
IT Software Developer,Stark technology,BCA,"Mobile developers are a type of software developer. They specialise in mobile technology such as building apps for Google’s Android,...",Ahmedabad
Business Development Executive,DCB India,MBA/PGDM,Job Responsibilities : (Training will be provided)Candidate need to sale Google Adword services to B2B clientsIdentifying and Generating Sa...,Ahmedabad
Digital Marketing Interns,Wdata,Any Post Graduate,"Urgent requirement of Digital Marketing Intern Salary:- 3 month Stipend (4000 to 6000),Salary (8000 to 12000) on performance...",Ahmedabad
Accountant,Rajkamal Builders Infrastructure Pvt Ltd,B.Com,Register with Teamlease to apply online for similar kind of Accountant jobs....,Ahmedabad
BDE BDM,TIGI HR Solution Pvt. Ltd.,MBA/PGDM,"Ltd. - Ahmedabad. BDE | BDMExperience : 1 - 5 YearLocation : AhmedabadSalary : Rs. 45,000 (p/m)Roles & Responsibilities :Understanding ...",Ahmedabad
HR Recruiter,THE F.F PVT LTD,B.Com,"F PVT LTD - Ahmedabad. DEAR CANDIDATES, JOBS OPENING FOR HR RECRUITER & BUSINESS PROMOTER .CANDIDATES MUST HAVE BASIC COMPUTER SKIL...",Ahmedabad
Accountant,Appstech Solution,B.Com,"Prepares asset, liability, and
capital account entries by compiling and analyzing account information.
Documents financial
tra...",Ahmedabad
Network Engineer,Appstech Solution,BE/B.Tech,Documentation Technical designMonitoring LAN/ WAN trafficInterface Syslog and trap processing Device up gradationConfiguring thre...,Ahmedabad
Server Engineer,Appstech Solution,BE/B.Tech,DocumentationTechnical DesignRemote server managementFile system management on serverLog file maintenanceConfiguring servers for high avail...,Ahmedabad
Marketing Associate,Planet Education,Diploma,"Advises present or prospective
customers by answering incoming calls on a rotating basis.
Influences customers to buy or
retai...",Ahmedabad
Telecaller,Phytones crop science,10th Pass (SSC),TelecallingMarketingNegotiationsCommunicationsSmartnessEnglishHindiThe candidate shall have above skills for doing marketing of our company...,Ahmedabad
Server Engineer,Appstech Solution,Diploma,"Installation of Monitoring agents - Sitecope, Network monitoring, Macafee Pathc Updates.Monitoring the services & applications of all t...",Ahmedabad
Angular,Bytes Technolab,Any Post Graduate,"Angular2+ years of experience in AngularJSExperience in Angular JS (v1, v2, v4 v5+).Must have experience with developing services and direc...",Ahmedabad
Content Writer,Bytes Technolab,Any Post Graduate,Content WriterWrite a clear marketing copy to promote our products/servicesPrepare well-structured drafts using Content Management SystemsR...,Ahmedabad
Python Developer,Bytes Technolab,Any Post Graduate,"Python DeveloperWriting reusable, testable, and efficient code.Design and implementation of low-latency, high-availability, and performant ...",Ahmedabad
Registered Nurse,Apollo Hospitals,Diploma,Register with Teamlease to apply online for similar kind of Registered Nurse jobs....,Ahmedabad
Staff Nurse,Zenforce Technologies,BSc,Register with Teamlease to apply online for similar kind of Staff Nurse jobs....,Ahmedabad
Nurse Therapist,Karyamitr,BSc,Register with Teamlease to apply online for similar kind of Nurse Therapist jobs....,Ahmedabad
Warehouse Executive,Conclusion Consultancy Private Limited,BA,Register with Teamlease to apply online for similar kind of Warehouse Executive jobs....,Ahmedabad
Senior Associate Quality Analyst,O2h,Diploma,Responsibilities:Reviewing quality specifications and technical design documents to provide timely and meaningful feedbackIdentifying test ...,Ahmedabad
Back Office Executive,Global Colliance,BA,Register with Teamlease to apply online for similar kind of Back Office Executive jobs....,Ahmedabad
Educational Specialist Maths,Educational Initiatives,BA,Register with Teamlease to apply online for similar kind of Educational Specialist Maths jobs....,Ahmedabad
Staff Nurse Cath Lab,Narayana Health,BSc,Register with Teamlease to apply online for similar kind of Staff Nurse Cath Lab jobs....,Ahmedabad
Staff Nurse,Health & Care Foundation,BSc,Register with Teamlease to apply online for similar kind of Staff Nurse jobs....,Ahmedabad
Registered Nurse,"HCG Cancer Centre, Sola, Ahmedabad",Diploma,Register with Teamlease to apply online for similar kind of Registered Nurse jobs....,Ahmedabad
Female Staff Nurse,Panacea Healthcare Management,BSc,Register with Teamlease to apply online for similar kind of Female Staff Nurse jobs....,Ahmedabad
Marketing Executive,Raijin Solar Energy LLP,B.Com,We are looking for a talented Marketing Executive to undertake marketing projects for the benefit of our company. He/she must bring fo...,Ahmedabad
Technology Content Writers,Contezy,BA,Register with Teamlease to apply online for similar kind of Technology Content Writers jobs....,Ahmedabad
Content Writer,Smart Homes Infrastructure Pvt. Ltd.,BA,Ltd.. Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Metizsoft Solutions Pvt.Ltd,BA,Ltd. Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,AgileInfoways,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Cloud24x7,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Audit Manager,Crafeo,B.Com,"CRAFEOThis is a completely freelancing opportunity to work as a shopper with Crafeo. All you have to do is do shopping, dining, etc at...",Ahmedabad
Web and Graphic Designer cum Content writer,Innover Web Solutions,BSc,Register with Teamlease to apply online for similar kind of Web and Graphic Designer cum Content writer jobs....,Ahmedabad
Maintenance Technician,Phoron technosolutions pvt ltd,Certificate Course (ITI),Register with Teamlease to apply online for similar kind of Maintenance Technician jobs....,Ahmedabad
Content Writer,Elsner Technologies Pvt. Ltd.,BA,Ltd.. Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Panacea Healthcare Management,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writer,Productive Jobs,BA,Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Content Writing Internship,Journey To Dreams,BA,Register with Teamlease to apply online for similar kind of Content Writing Internship jobs....,Ahmedabad
ELECTRICIAN,SANTOSH STARCH PRODUCTS LTD,Certificate Course (ITI),Register with Teamlease to apply online for similar kind of ELECTRICIAN jobs....,Ahmedabad
Content Curation And Management,Khidki Software Private Limited,BA,5 years of experience via Khidki Software Private Limited. Register with Teamlease to apply online for similar kind of Content Curation And ...,Ahmedabad
Content Writer,Jenya formally Rayvat,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Content Writer jobs....,Ahmedabad
Technical Content Writer,Bytes Technolab,BA,Register with Teamlease to apply online for similar kind of Technical Content Writer jobs....,Ahmedabad
Content Writer,Kunsh Technologies,Any Graduate,"Content WriterLocation : Ahmedabad, IndiaExperience : 2-3+ years experienceResponsibilities : The Content Writer will be responsible f...",Ahmedabad
Iphone Developer,Addisinfotech,BE/B.Tech,Addis Infotech iPhone and Android Application development company based in Ahmedabad.We are looking to hire 2 Sr iPhone App Developers...,Ahmedabad
Executive Chef,"Marriott International, Inc",BHM,Register with Teamlease to apply online for similar kind of Executive Chef jobs....,Ahmedabad
Accountant,AccountempsGuru,B.Com,Register with Teamlease to apply online for similar kind of Accountant jobs....,Ahmedabad
Structural Engineers/Hydrological Engineers,Multi Mantech International Pvt. Ltd.,BE/B.Tech,Ltd. - Ahmedabad. 1. Structural EngineersQualifications: B.E. / M.E. / M.S. Civil/Structural Engineering 0 - 3 years of experienc...,Ahmedabad
Business Development Executive,Httphodusoft.com,B.Com,"com - Ahmedabad. Candidates with bidding portal experience will not be consideredExperience in outbound lead generation, generating leads th...",Ahmedabad
Business Development Manager - IT,Krazy Mantra HR Solutions Pvt.Ltd.,B.Com,Ltd. - Ahmedabad. Krazy Mantra Hr Solutions is a man power solution company since 2008. We provide man power solutions to all sector in Indi...,Ahmedabad
Digital Marketing Executive,Web Cures,Diploma,"We're looking for someone who can:
Conduct detailed keyword research, manual site audits and perform on-site SEO for new and existing camp...",Ahmedabad
Sales Marketing Executive,Panaah Jewellery Studio,B.Com,"Position:
Sales and Marketing Executive To
all the female candidates,At
Panaah, we seek for female candidates who have excelled in sal...",Ahmedabad
PHP Developer,Diligentia Technologies,BE/B.Tech,"We are looking for a PHP Developer who is dedicated to the craft, writes code clean, fast PHP to a high standard, in a timely ...",Ahmedabad
Travel Consultant,Rudra Holiday Planners,B.Com,"Domestic and International Holiday Package sale on phone or walk in customers.Basic office work like email, invoice ,  preparing and s...",Ahmedabad
Java Software Engineer,Jekson Vision Pvt Ltd,M Phil / Ph.D,"Java Software EngineerExperience: 3 - 8 YearsLocation: AhmedabadSalary: INR 3,00,000 - 8,00,000 PA.Industry: IT-Software / Software Service...",Ahmedabad
Technical support,Jekson Vision Pvt Ltd,BCA,TECHNICAL SUPPORTLocation: AhmedabadExperience: 0 to 1 year (Freshers may apply)Education: BCA - ComputersIndustry: Industrial Products / H...,Ahmedabad
Digital Marketing Executive,Sygnius Realty LLP,BA,ResponsibilitiesAssist in the formulation of strategies to build a lasting digital connection with consumersPlan and monitor the ongoing co...,Ahmedabad
Back Office Executive,Shree placement service,10th Pass (SSC),client follow-ups and good communicationgood Hindi communication and speak little English...,Ahmedabad
Office Assistant,ViGyan Media & Technologies Pvt. Ltd.,Any Graduate,"Ltd. - Ahmedabad. Ensure a
fluid work environment within the office by performing a wide range of
communication, coordination, administrati...",Ahmedabad
Sales Officer,TeamLease,Diploma,Job In Big Finance CompanyJob Location - Ahmedabad / Baroda Sales loan /FD / Insurance / Open market JobTarget but salary Is fixe...,Ahmedabad
Senior HR Manager,The one technologies,MBA/PGDM,Sr HR Manager  5+ Years               Must have a minimum of 5 years experience in IT CompanyL...,Ahmedabad
Web Designer,Indylogix Solutions,BCA,Job briefWe are looking for a talented Web Designer to create amazing user experiences.  The ideal candidate should have an eye f...,Ahmedabad
HR Recruiter,Krazy Mantra HR solutions,Any Graduate,"Krazy Mantra is a group of Companies since 2008. We provide manpower solutions to all sector in India, Europe and the US. Our Loc...",Ahmedabad
Back Office Executive,Avi Appliances Pvt. Ltd.,10th Pass (SSC),"Ltd. - Ahmedabad. The job responsibilities will include (but not limited to):Producing Information by Transcribing, Formatting, Inputting, ...",Ahmedabad
PE-TM/Line Incharge-Machine shop,Hero MotoCorp Ltd.,Any Post Graduate,"- Ahmedabad. PE-TM/Line Incharge-Machine shopNo. Of Post: 1 JobCompany: Hero MotocorpShort Description:To establish new pre-treatment, pain...",Ahmedabad
SEO Executive,TOPS Technologies Pvt Ltd,Any Post Graduate,Candidates must work with: On-page SEO ConceptsClassifieds SubmissionBlog SubmissionArticle SubmissionLink BuildingExcellent writing and sp...,Ahmedabad
International BPO,Credible Consultancy,12th Pass (HSE),JOB DESCRIPTIONProcess emails/cases & work on ad-hoc projects as instructed by Team LeadersYou will be working for e-commerce(online sh...,Ahmedabad
Telecaller,Raa Darbar Tours And Travels,Certificate Course (ITI),Roles & Responsibilities- Resolve the customer issue via Calls- To provide best resolution of our customerDescriptionHand on practice o...,Ahmedabad
AR Caller,IGlobal KPO Services LLP,Any Post Graduate,"Job Description:
Coordinate with the doctor’s office via mail/call.Coordinate with Patient via mail/call.Follow the Patient Care PlanTrai...",Ahmedabad
senior android developer,Kaira Software Pvt Ltd,BCA,Job Title-Senior Android DeveloperJob brief:We are looking for an Android Developer who possesses a passion for pushing mobile technologies...,Ahmedabad
PHP Developer,Jstechno Solution Pvt.Ltd.,BCA,"Ltd. - Ahmedabad. We are looking for a PHP Developer responsible for managing back-end
services and the interchange of data between the serv...",Ahmedabad
3D Animation Faculty,EQuinoxx House of Art-Design-Films,Certificate Course (ITI),Great opportunity to join the ever-growing team of Gujarat's Creative Education Icon eQuinoxx Creative Academy.Looking for 3D Animation Fac...,Ahmedabad
Software Developer,Ashutec Solution Pvt Ltd,BE/B.Tech,"Hello, wanna be Techies (Freshers)…!!! Welcome to World of Opportunities….Want to give a kick start to your career? Then, Don’t Pick ...",Ahmedabad
PHP Developer,Kabra Express Logistics Pvt Ltd,BCA,Website developer required in PHP which can modify an existing website as per requirement website should be responsive to any device and in...,Ahmedabad
Marketing Assistant,IIM Ahmedabad,MBA/PGDM,"The Post Graduate Programme in Advanced Business Analytics (PGP-ABA) requires
a dynamic Marketing Assistant.Qualification, Experience &...",Ahmedabad
Sales Executive,IT COMPANY,B.Com,"Sales executives are the key point of contact between an organisation and its clients: answering queries, offering advice and introducing n...",Ahmedabad
Audit executive,Amit Bhandari & Associates,CA,The preferred ones should have gained good knowledge of direct taxation and debt syndication in articleship or during ongoing service perio...,Ahmedabad
Telecaller,Shivam finance solution,12th Pass (HSE),Computer experienceGood listening skillsMulti-tasking abilityproblem-solving capabilities.Knowledge Retention. An agent's mission...,Ahmedabad
Waiter / Waitress,Cinepolis India Pvt Ltd.,12th Pass (HSE),- Ahmedabad. Selling movie tickets at Box OfficeSelling F&B products at Concessions and coffee Treeenrolling customers in Club Cin...,Ahmedabad
FRONT DESK EXECUTIVE,Podar Education Network Pvt Ltd,Any Post Graduate,FRONT DESK EXECUTIVELocation: MehsanaExperience: 0 - 3 YearsSalary: Not Disclosed by RecruiterIndustry: Education / Teaching / TrainingFunc...,Ahmedabad
Content Writer Technical Writer,TIGI HR Solution Pvt. Ltd.,Any Post Graduate,"Ltd. - Ahmedabad. Content Writer (Technical Writer)Experience : 0.6 - 2 YearLocation : AhmedabadSalary : Rs. 25,000 (p/m)Job Description :&...",Ahmedabad
Sales Executive,Lakshya Consultancy,Other Graduate,"Highly self
motivated and ambitious in achieving goals.Prepare reports
by collecting, analyzing, and summarizing information.Should be
capa...",Ahmedabad
HR Recruiter,Growth Proh,Any Post Graduate,"Job SummaryHuman Resources Interfacing with clients requiring staffing services to determine the number of hires, salary, positions, and jo...",Ahmedabad
SALES AND SERVICE,EMDERS ENTERPRISE,BE/B.Tech,We are hiring Sales and Service  executives in ahmedabad location.Industry : ELECTRICALAhmedabad -: sales and SERVICE-4For sales and p...,Ahmedabad
Customer Care Executive,Career club Hr Consultant,Any Graduate,We have urgent opening for Customer Care ExecutiveDesignation – Customer Care ExecutiveExperience - 1-3 YrsOpenings- 20Qualification- Any...,Ahmedabad
