,Title,Company,Location,Salary,Summary
27,Gyneocologist,Bannu Arogyada Seva society,"Eturnagaram, Andhra Pradesh",960000.0,"Job Summary Osbtetriciaon/gyneacologist Need obstetrician/gynecologist full time to work at eturunagaram ,which is about 100 Kms from warangal TS for a..."
28,Office Assistant |Bangalore|immediate joining,Gupta College,"Bengaluru, Karnataka",108000.0,Job Summary Gupta College (affiliated to Bangalore University & approved by Government of Karnataka) requires Office Assistant (preferably male candidate)...
29,Office Assistant & Data Entry Operator,Inspire Global Solutions,Karnataka,Nan,Office Assistant & Data Entry Operator Jobs In Posted On 15th August 2019Company Name: Designation: Office Assistant & Data Entry Operator Education : Any...
30,Urgent required Data entry Clerk cum computer operator.,Lyness mart pvt ltd,"Jaipur, Rajasthan",272400.0,Data Entry Clerk job summary Our oil and gas firm seeks a reliable Data Entry Clerk to join our accounts payable department. The successful candidate will...
31,Back Office Executive,Roqoqo,India,Nan,"Need a Fresher/Experienced individual that has good administrative skills He/She needs to have good communication skills in English, Hindi and maybe Marathi..."
32,Office Assistant,"Yours Ethnic Foods Pvt Ltd , VADSAR , TALUKA KALOL","Ahmedabad, Gujarat",210000.0,*Responsibilities and Duties  Purchase All Packing Material As per Requirement After Confirmation of Issue PO For Raw Material /Packing Material /Misc. PO ...
33,Fresher Jobs - Data Visualization Professionals,Shyena Tech Yarns Pvt Ltd,"Pune, Maharashtra",Nan,Job Summary We are looking for Freshers / Engineering Graduates / Post Graduates who are willing to make Career in Data Visualization. Only those candidates...
34,Executive Data Entry,GRP Discount,India,Nan,"Key responsibilities: Compare data with the source documents, apart from reentering data in the verification format, in order to detect errors. Compile, sort..."
35,Aadhar Operator,HDB Financial Services Ltd,"Ahmedabad, Gujarat",100000.0,Job Summary We have urgent opening for Aadhaar Operator with HDB Financial Services Ltd. HDB Financial Services is a subsidiary of HDFC Bank. HDB Financial...
36,"Councelor, Telecaller, Admin",SWEC Education and Immigration Services,"Ahmedabad, Gujarat",360000.0,"Job Summary Looking for Counselor, Admin Executive , Telecaller and Front Desk Executive Responsibilities and Duties As Job Type: Full-time Salary: ₹10..."
37,Project Coordinator,VMS Engineering & Design Services (P) ltd.,"Ahmedabad, Gujarat",Nan,"Job Summary VMS is a distinguished consultancy organisation providing engineering, architecture and project management services. VMS has a longstanding and..."
38,CUSTOMER SERVICE OFFICER,AU small Finance bank,"Ganj Basoda, Madhya Pradesh",Nan,CUSTOMER SERVICE OFFICER - 36057 Description Position Name Customer Service Officer Grade A1/A2 Reports To Branch Operations & Service Manager Location...
39,Personal Driver,RS The Palace,"Kanpur, Uttar Pradesh",108000.0,"Driver required who is able to drive big SUV'd like fortuner,endeavour. Also should have a driving experience of more than 5 yrs and be able to drive..."
40,Sanyaasi - Monk/Priest,Sriom Adisakthi Ashram,"Walajabad, Tamil Nadu",Nan,"Organization: Sriom Adisakthi Ashram Role: Sannyaasi – Monk Location: Sriom Adisakthi Ashram — Avalur 631605, TN, India ₹ 0.00 per year +..."
41,IT Operations Officer (IDC),flydubai,"Hyderabad, Telangana",Nan,"Responsible for supervising the operation of Computer applications, hardware systems, network and related infrastructure and ensuring all of them are..."
42,Branch:Customer Service Officer - Transaction Banking,Axis Bank,"Moradabad, Uttar Pradesh",Nan,The sales and marketing activities need to be done mainly from the branch itself. Responsible for improving the Internal Audit Operational Efficiency score of…
43,Office Staff,lego enterprises,India,Nan,"Contact hr-6378658403Assist and coordinate with sales and marketing team, Quotation making and sending to customer, Order Processing, Support sales and…"
44,Office Executive,lego enterprises,India,198000.0,"Job SummaryMore Info Call HR -7428064038Documents collection executive required with own vehicle,Fresher and experienced both can apply,same day interview and…"
45,[Government] Assistant Revenue clerk (Re-Advertised),"Haryana Staff Selection Commission, Panchkula","Panchkula, Haryana",639600.0,Hindi/Sanskrit as one of the subject in Matriculation or Higher. Please see Detailed Advertisement Link for full info: Thereafter website link will be.
46,Production Supervisor,Blues N Coppers Exhibitions,"Mumbai, Maharashtra",540000.0,Experience in production in an interior or organised exhibition firm Staying close to our factory Good at maths and reading autocad sizes.
47,Commercial Executive,Boston Ivy Healthcare Solutions Pvt.Ltd,"Ahmedabad, Gujarat",0,"Boston Ivy Healthcare Solutions (Medikabazaar) an online platform for medical supplies and equipment, is hiring for Commercial Executive-Ahemdabad."
48,Production Executive,Ecorporate Management Services,"Daman, Daman and Diu",240000.0,"Ensure that the production is cost effective. Looking Out for production executive. Planning daily production, achievement of production target and production…"
49,RM/FG Store Incharge,Marc Enterprises,India,Nan,"Job Description:Need People with good experience of being Store manager handling various kinds of materials and Product, keeping track of the quantities coming…"
50,Office Assistant,TimesPro Consulting LLP,"Gurgaon, Haryana",288000.0,"Handle organizational and post sales support tasks. This may include organizing files, scheduling appointments, writing copy, proofreading, receiving guests and…"
51,Computer Operator,Amartex,India,Nan,"Our ideal candidate has essential data entry skills, like fast typing with an eye for detail and familiarity with spreadsheetsREQUIRED SKILLS :"
52,Data Entry Work / Back Office,Ankur Oil And Refrigeration,"Hinjewadi, Maharashtra",192000.0,We are hiring freshers for Data Entry and back office Profile with good typing speed skills. Salary upto 21K monthly with huge incentives.
53,"Graduate, Actuarial, Actuarial Services, Mumbai, 2020",PwC,"Mumbai, Maharashtra",Nan,And we aim to encourage an inclusive culture where people can feel empowered to be the very best they can be and to reach their full potential creating value…
54,Admin Executive - IT (Fresher),Dit India,"Ahmedabad, Gujarat",Nan,Exposure in administration function will be an value addition. Should have good admin knowledge. Should have good communication skills.
55,Finance Controller,Client of 7sHR Consulting Pvt Ltd,"Lonavale, Maharashtra",1500000.0,"Ensure that periodic bank reconciliations are completed. The controller position is accountable for the accounting operations of the company, to include the…"
56,Accounts Assistant,Bathiya & Associates LLP,"Ahmedabad, Gujarat",Nan,"Experience - 0 to 3 years. Candidates with experience working in a CA firm. We require someone who has experience or Knowledge in Accountancy, Auditing,…"
57,Junior Assistant,Dr. B R Ambedkar National Institute Of Technology,"Jalandhar, Punjab",544800.0,"Dr B R Ambedkar National Institute Of Technology Jalandhar G T Road Bye Pass, Jalandhar - 144011 (Punjab). 13 (UR-07, OBC-03, SC-01, ST-01, EWS-01)."
58,STORE EXECUTIVE,Shree Ram Wooden Industries Pvt Ltd,"Bavla, Gujarat",275000.0,Experience of Stores/Purchase / Material Planning. Inventory management & Tracking through timely replenishment of stocks.
59,[Government] Rashtriya Chemicals and Fertilizers Limited (RC...,Rashtriya Chemicals and Fertilizers Limited (RCFL),India,135000.0,"The closing date for submission of online application is 27/08/2019 till 5:00 PM IST. Provides excellent career opportunities for recruitment of Deputy Manager,…"
60,Fashion Designer,Deepkala Silk Heritage,"Ahmedabad, Gujarat",270000.0,We have vacancies of Head Designer and Assistant Designer. Looking for a full time Fashion Designer at our store.
61,Executive - Administration,Apollo Hospitals,India,Nan,Forwards information by receiving and distributing communications; Maintains supplies by checking stock to determine inventory levels;
62,Supply Chain Assistant - SCM,INMACS Management Services Limited,"Vikhroli, Mumbai, Maharashtra",600000.0,"Making Internal Cost Estimation, Comparative Statement, Note for Approval (NFA), Inter Plant Rate comparison (IPRC) and other commercial documents."
63,Collection Executive,GTPL Broadband Pvt. Ltd.,"Ahmedabad, Gujarat",162000.0,"Responsibilities - Submission of day to day collection, Target Achievement, Customer Visit, Revenue Growth. Position - Collection and Renewal Executive."
64,M.sc / B.sc Fresher (For Document Work),West Coast Pharmaceutical Ltd,"Ahmedabad, Gujarat",87000.0,"Preparation of registration dossiers in format. Arrangement of registration document as per requirement. Required Experience, Skills and Qualifications*."
65,Customer Support Representative,HiTech iSolutions LLP,"Ahmedabad, Gujarat",250000.0,"Is a leading ISO certified and award winning company offering one-stop solutions across various service lines and functions including BIM Solutions, Engineering…"
66,Data Entry Operator,Government of Haryana,"Ambala, Haryana",0,"The candidate must have to submit filled form in SK Branch ,District Revenue Office,Ist Floor Mini Secretariat Ambala from 22 August 9:30 AM.The Date of the…"
67,Store Assistant,Infinity Job Solutions,"Aurangabad, Maharashtra",240000.0,Excellent organizational skills with an ability to think proactively and prioritize work. Review and recommend changes to our company policies.
68,Chief Operating Officer,BEMPU,"Bengaluru, Karnataka",Nan,"Chief Operating Officer – Working with the CEO, you will have overall responsibility for sales and marketing and P&L activities as well as HR, Finance, R&D, and…"
69,Accounts Officer,PAVITRA INSTITUTE OF HEALTH SCIENCES,"Gurgaon, Haryana",270000.0,"Candidate should have experienced in accounting for Non Profit Organization. B Com.- 5 years ,M Com -1-2 years."
70,Purchase Executive,Bright Solar,"Ahmedabad, Gujarat",Nan,"Establish and implement purchasing policies, procedures and best practices. Seek and partner with reliable vendors and suppliers."
71,Purchase Officer,DONGSHAN SILICON PVT. LTD.,"Bavla, Gujarat",150000.0,"Address - DONGSHAN SILICONE PRIVATE LIMITED. On the technical side, purchasing officers should understand the foundational principles of logistics as well as…"
72,Intern,IBM,"Bengaluru, Karnataka",Nan,"This is a paid internship opportunity that will provide an excellent career reference, real-world experience at a 100plus years worldwide software company."
73,Personal Administrative Assistant ( Pune + 79686 ),amdocs,"Pune, Maharashtra",Nan,"We are at the heart of the telecommunications industry working with giants such as AT&T, Vodafone, Telstra and Telefonica, helping them create an amazing new…"
74,Hospitality Purchase,YMCAIC,"Ahmedabad, Gujarat",246000.0,"Yearly contract supplier ( All item of hotel like Food items, F & B service, Housekeeping & Engineering Department). Purchase Manager / Asst Purchase Manager."
75,Programme Officer,Sardar patel Renewable Energy Research Institute (...,"Anand, Gujarat",0,"Masters in Mechanical, Chemical or Environment engineering /Agriculture/Renewable energy, Post graduates with some field level experience 1-3 years in handling…"
76,Executive-Appeal & Specialized Claims,bajajallianz,"Ahmedabad, Gujarat",Nan,"Responsible for Settlements, TAT & Claim Size. Responsible for Quality in terms of Settlement, TAT, Process, coordination & Management."
77,Computer Operator Back Office FresherSng,S.M.Trading Private Limited,"I.I.P. Dehradun, Uttarakhand",192000.0,Responsibilities: - Registered new Phone connections. Print documents. Handling Phone roaming update Review and verify the entries. Maintain data In V…
78,Store Keeper,Samanvay Realty,"Vadodara, Gujarat",Nan,"Report those to accounting for reimbursements and record keeping. Preferably Experienced In Real Estate. Maintain receipts, records, and withdrawals of the…"
79,Office coordinator,Bijoliwale Marketing Pvt Ltd,"Shiliguri, West Bengal",270000.0,You will be an integral part in ensuring that our office operations run smoothly and are successful in supporting other business activities.
80,Store Keeper,Honda.....Manpower,"Allahabad, Uttar Pradesh",244794.0,We are looking for a warehouse worker to participate in our warehouse operations and activities. Keep a clean and safe working environment and optimise space…
81,Programme Officer,Sardar Patel Renewable Energy Research Institute,"Anand, Gujarat",0,15.09.2019.FreshersLIVE wishes you all the best. An interested candidate should send his/her curriculum vital including contact information of two references…
82,Office Administrator,Maersk,"Mumbai, Maharashtra",Nan,You will join an organization with the size and global reach it takes for you to make your mark on the world. An environment where you will consistently work at…
83,Executive Assistant,ART GROUP OF COMPANIES,"Jodhpur, Rajasthan",780000.0,"You will often be party of confidential information. Miscellaneous tasks to support their manager, which will vary according to the sector and to the manager’s…"
84,Data Entry Operator,sata cloud tech,"Chennai, Tamil Nadu",375000.0,"Operators are usually responsible forentering data. Into different computer databases, manage and maintain effective record keeping."
85,Data Entry Operator/Computer Operator,Nikhaar Fashions Heritage,"Jaipur, Rajasthan",Nan,Require candidates for data entry. He must know how to fill data in excel/ google sheets. Must be very good at follow up as well as gathering data in the…
86,Apprentice Training,Naval Dockyard Mumbai,"Mumbai, Maharashtra",Nan,"Sl Apprenticeshi p Training Trade Eligible ITI Trade Vacancies. Naval Dockyard, Mumbai invites online applications from ITI qualified candidates (Male / Female)…"
87,Executive,National Dairy Development Board,"Anand, Gujarat",Nan,Last date of receiving applications is 16 September 2019FreshersLIVE wishes you all the best. WAMUL is looking for candidates for the position of Excutive…
88,Store Executive,Suvidha Talent,India,186000.0,"We are looking for Store Executive for our esteemed client. Creativity, Customer Sensitivity, Execution Excellence/Do it Right, Functional Expertise, Passion,…"
89,Urgent requirement for Computer Operators,Victorious Recruitment and Staffing Solutions,"Nagpur, Maharashtra",87000.0,Urgent requirement for computer operators Qualification: 12th and any graduates Salary: 6500 - 8000 Fresher can also apply Location: Nagpur For more…
90,Requirement In Nestle Company Apply Now Supervisor Store Kee...,Singh Placement Bureo Hiring For Singh Placement B...,"Vasco Da Gama, Goa",426600.0,Job responsibilities for Nestle India s Company supervisor Lead a team of commissioning activities in projects Interfaces with other disciplines to ensure…
91,Data Entry Operator/Computer Operator/Fresher,LAXMAN REALTY LLP,"Sahibabad, Uttar Pradesh",204600.0,"FOR MORE INFORAMTION CALL HR NANCY - 8800-89-6735*. We are looking for Data Entry Operator (DEO), Maintain Data on our google drive applications (document."
92,Urgent Opening For Retail Industry,Tanishq jewellery,"Ahmedabad, Gujarat",198000.0,"Urgent recruitment for Tanishq Showroom. Fresher can also apply, Average com-skill required. Salary range 15000/- to 18000/-."
93,Purchase Officer,MSR India,India,Nan,"Conduct research to ascertain the best products and suppliers in terms of best value, delivery schedules and quality; As a purchasing manager, you'll need to:"
94,Data Entry Operators cum receptionist,K.T. Automation,Gujarat,Nan,"We are having requirements of Data Entry Operators, for full time or part time. Educational Qualification:- Graduate. Skills- Good computer knowledge. Read …"
95,Bajaj Auto Required Degree Iti Candidate All India,Company Hidden,"Delhi, Delhi",378000.0,Be responsible for mechanical activities in the manufacturing unit Proven work experience in software quality assuranceCompany name - Bajaj Auto Ltd Contact…
96,Data Entry Operator,DestinationGroup,India,264000.0,"Data Entry Operator Jobs In Dear Candidate, karolbagh. Karol Bagh, New Delhi, Delhi, India. Fresher or experience both candidates are applied."
97,basic computer knowleadge,Hindustan Trading Company,"Jaipur, Rajasthan",132000.0,For more details please contact us directly. We are into garments business. Basic computer knowleadge is must. We are operating online mostly.
98,MIS Executive,Reliable Services,"Sanand, Gujarat",600000.0,"5 years in Mass scale data Analysis, MIS Reports in Transportation/shipping industry. MIS Reports in Transportation/shipping industry: MIS Executive – 1 No."
99,Logistics Operations Executive,Getgo Logiistics,"Mumbai, Maharashtra",400000.0,"Handling supports queries via call and email tickets and. In this role, you will. GetGo Logistics is looking for an eager-to-learn Operations Executive."
100,Data Entry Operator,Hexagon Infosoft Solutions Pvtt. Ltd.,"Ahmedabad, Gujarat",Nan,"Freshers willing to take up this job role can apply. Experienced and excellent in using Excel,. Min typing speed 30 wpm,. Able to read and write English."
101,Ground operational Staff,Ebix Software India Pvt LTD,"Bengaluru, Karnataka",510000.0,We are hiring for ground operations staff on PAN India Level Immediately.Responsibilities and DutiesAssisting staff in carrying out security checks as and when…
102,Front Desk Executive,SRG Housing Finance Limited,"Udaipur, Rajasthan",0,"Answer questions and address complaints. Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.)."
103,Assistant/ Clerk,Government of Tamil Nadu,"Perambalur, Tamil Nadu",0,Interested candidate can applu through http://www.drbpblr.net on or before 13.09.2019.FreshersLIVE wishes you all the best. Perambalur Last Date to Apply :
104,Assistant,Government of Tamil Nadu,"Tuticorin, Tamil Nadu",0,"Thoothukudi District Central Cooperative Bank, 70 A,Balarinayar ,Koli Street,Thoothukudi Market Branch, Thoothukudi, Tamil Nadu 628002."
105,Accounts Officer,Jawaharlal Nehru Port Trust (JNPT),"Navi Mumbai, Maharashtra",0,"18 years to Maximum Age: Accounting in an in an industrial/commercial Govt. Jawaharlal Nehru Port Trust (JNPT), invites applications for recruitment of…"
106,Back Office Executive (Only females),Vanashree Agriculture Pvt. Ltd.,India,Nan,Only female candidate can apply. We have opening for Back office Executive. Candidate should be graduate in any field.
107,Maintenance Supervisor,VIMCO CROP SCIENCE,"Ahmedabad, Gujarat",222000.0,In small unions this position may be combined with that of business manager or assistant director for business or operations.*.
108,Reference Data Operator,Deutsche Bank,"Pune, Maharashtra",Nan,The behaviours provided below should be adopted by all Deutsche Bank employees in relation to their development and management of others.
109,Executive Administrative Assistant to CEO Arthur M. Blank Fa...,Mercedes-Benz Stadium,"Amb, Jammu and Kashmir",Nan,"Excellent understanding of Excel, Word, Outlook, etc. Ensure travel is seamless and efficient while working with multiple meeting/travel arrangements;"
110,"Transportation Vehicle Driver 25.0 hrs/wk, Transportation De...",San Ramon Valley Unified School District,Haryana,Nan,Employer: San Ramon Valley Unified School District Date Posted: 8/27/2019 Contact: Kim Wolkenmuth Number Openings: (At time of posting) 1 Length of Work Year:…
111,[Government] Thanjavur District Central Cooperative Bank Aug...,Thanjavur District Central Cooperative Bank,India,Nan,Thanjavur Cooperative Bank 2019-20 for any degree holders of Male and Female Indian Citizens (any state residents) apply online through Tnjdrb official website.
112,Back Office/Fresher/ Data Entry/ Computer Operator,Digital Logicom Pvt.Ltd,"Inderpuri, Delhi",228000.0,"Give the regular Detail of business. He will manage confidentiality, as he will be operating with delicate information. Maintain database on regular basis."
113,Fresher Data Entry Operator/Computer Operator,LTS International,"Badarpur, Delhi",215400.0,Give the regular Detail of business. We are Looking Data Entry Operator. The Data Entry Operator will ensure the accuracy of data entries and perform clerical…
114,Executive - Backoffice - Ahmedabad Ahmedabad,Shree Shubham Logistics,"Ahmedabad, Gujarat",Nan,1 Executive - Backoffice - Ahmedabad Backoffice Warehousing Ahmedabad Any Graduate Around 2 years. Position Role Dept Location Educational Qualification…
115,Fresher For Back Office/Computer Operator,LAXMAN REALTY LLP,"Gurgaon, Haryana",205800.0,We are Looking Data Entry Operator staff . The Data Entry Operator will ensure the accuracy of data entries and perform clerical tasks (including mailing and…
116,Warehouse Supervisor,Carryfast Group,"Tilaknagar, Madhya Pradesh",180000.0,"Experience of working in Warehouse. Picking of stock as per pick list (Batch, MRP, Date of Manufacturing, WMS, Product type, Code and Quality)."
117,[Government] National Bureau of Animal Genetic Resources (NB...,ICAR – National Bureau of Animal Genetic Resources...,India,0,"Invites applications for Walk in Interview for the post of Young Professionals, Research Associate and Senior Research Fellows under the projects ""National…"
118,Pre Primary Teacher,"DELHI PUBLIC SCHOOL, GAYA","Karimganj, Bihar",0,"Required Experience, Skills and Qualifications*. Salary no bar and Bachelor's free accommodation."
119,Coordinator - Facilities & Administration,Lucid,"Gurgaon, Haryana",Nan,"If you have a disability or special need that requires accommodation, please let us know. Our products and services enable anyone, in any industry, to ask…"
120,BLR-Purchase- Executive,Syngene,India,Nan,Request for Quote (RFQ) from various vendors with best timeline and price. To ensure timely release of AMC (Annual Maintenance Contract) and service orders.
121,Customer Service / Back Office,Munsar Services,India,Nan,"If we have a vacancy that suits your profile, now or in future, we will contact you with details about the vacancy."
122,Administrator – Systems(2019-20/00078),Bhakti Consultaants,"Talegaon Dabhade, Maharashtra",750000.0,"Male | Number of days working per week: No bar for right candidate but depend upon experience, knowledge, interview performance etc. 1 Number | Job type:"
123,Accounts Executive,Foodlink Services India Pvt.Ltd,"Ahmedabad, Gujarat",318000.0,Daily Cash & Bank entries & Preparation of Bank Reconciliation Statement. Preparation of Monthly Stock Statement for Bank CC purpose.
124,Office Admin,The Trackers Educational and Overseas Services,India,Nan,A candidate should have Good English and communication skills. Verbal and written Analytical skills. Ability to learn and perform in challenging environment.
125,MIS Executive,MPTA Education Ltd,"Ranchi, Jharkhand",1980000.0,"Responsible for daily MIS reports, Weekly Reports, Monthly Reports & various other reports. Maintenance of weekly/ monthly database."
126,Admin Executive,MSquare Media,"Ahmedabad, Gujarat",Nan,Coordinate office activities and operations. Manage agendas/travel arrangements/appointments etc. for the upper management. Experience is MS Office tools.
127,Capacity Building Officer (Rural Housing),ActiveUnited Nations Development Programme (UNDP),"Bhubaneshwar, Orissa",0,"Along with being the inhouse expert on innovative rural housing technologies, the incumbent will be responsible for supporting conduct of various training need…"
128,Office Administrator,M.R. Trading Co.,"Sion, Mumbai, Maharashtra",270000.0,"Qualifications in secretarial studies will be an advantage. Proven experience as an office administrator, office assistant or relevant role."
129,Computer Operator,ARGShreeradhe Services,"Lucknow, Uttar Pradesh",550000.0,"Address Street Gadariyan, Near Happy Model School, District Bijnor. Industry IT Hardware / Technical Support / Telecom Engineering. Salary 3 Lac To 8 Lac P.A."
130,Operations - Sports Ticketing,Insider.in,"Jamshedpur, Jharkhand",Nan,"Possess excellent customer service, organisation, and computer skills. Bachelor’s Degree from an accredited college or sports management, business…"
131,Administration Officer,ITC,India,Nan,"Resolving on-going facility issues by acting as the main interface between the users and the service providers, envisaging business needs and inspecting each…"
132,Coordinator for English language,Triway learning Private Limited,"Nagappattinam, Tamil Nadu",180000.0,"You must provide us with a commitment to work for one full academic term. To teach English to students using multi-sensorial, activity-based teaching…"
133,NUN Community Volunteer - Coordinator (Youth Advocates) - Gu...,ActiveUnited Nations Development Programme (UNDP),"Ranchi, Jharkhand",0,"Temperature ranges from maximum 40 to 20 °C during summer, and minimum 21 to 3 °C during winter. Further, one-time payment of Rs."
134,New Opening Back Office Computer Operator Fresher,Marketing Raxtan Ltd,"Barakhamba, Delhi, Delhi",244800.0,"We are looking for computer Operator in Back Office, Maintain Data on our google drive applications (documents, sheets, forms) within the organization, as he…"
135,Part-Time Field Promoter for Amazon Pay - JAIPUR,GigIndia,"Jaipur, Rajasthan",240000.0,Part-Time Field Promoter for UPI App Stickering Activity. Need to visit nearby shops and paste stickers of UPI app.
136,Finance Excutive - Accounts Receivables,"Marriott International, Inc","Ahmedabad, Gujarat",Nan,Marriott International is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. Start Your Journey With Us.
137,Multi Tasking Staff,Northern Railway,"New Delhi, Delhi",Nan,Online Applications Are Invited From Eligible Indian Citizen For Recruitment Of Level-I Multi Tasking Staff In Catering Unit Of Commercial Department Of…
138,Account Assistant,DUCRRO TECHNOLOGIES,"Jabalpur Napier Town, Madhya Pradesh",480000.0,"GOOD KNOWLEDGE OF ACCOUNTS RESPONSIBLE PERSON Job Type: Full-time Salary: ₹30,000.00 to ₹50,000.00 /month Experience: * Tally: 1 year (Preferred) * work: 1…"
139,Admin Executive,Golden Enclave Projects,West Bengal,Nan,"Manage financial resources and budgeting essential administrative expenditures. Coordinate the flow of paper work around the office, update and issue essential…"
140,Looking for BPO Customer Support Executives for Indore locat...,Ink IT Solutions,"Indore, Madhya Pradesh",Nan,We are looking for Freshers and Experienced BPO Customer Support Executives For Indore location with below mentioned skill set and experience level.
141,Project In-charge,Raijin Solar Energy LLP,"Ahmedabad, Gujarat",210000.0,"As our project manager, your job will be to coordinate people and processes to ensure that our projects are delivered on time and produce the desired results."
