Title,Company,Qualifications,Description,Location
SEO Executive,ARYSON TECHNOLOGIES,BCA,"Architect,
design, develop and maintain innovative, engaging and informative sites for a
worldwide audience.Maintain
and develop the web co...",Noida
Assistant Professor Physical Sciences,North Maharashtra University,M Phil / Ph.D,"Assistant Professor Physical Sciences recruitment in North Maharashtra UniversityDepartment: Physical Sciences, Chemical Sciences...",Jalgaon
Customer Care Executive,Qconnect,Certificate Course (ITI),"We are hiring for airtel process, at Mohali location,Education - Should be GraduateCommunication - Should be fluency in EnglishImmediate jo...",Mohali
PHP Developer,SPOT IT SOLUTIONS PVT LTD,BE/B.Tech,"Organization Name: SPOT IT Solutions Private
Limited   
Website :
Education: Any Graduate
Experience: 0-2Yrs
Salary: Upto 2...",Chennai
Office Boy,MIND MASALA,Upto 9th Std,TO DO ALL KIND OF OFFICE BASIC WORK. EDUCATION 10TH OR +2. Should complete all the work as per supervisor orderOffice boy require...,Chennai
Electrician,Agni safety I pvt ltd,BA,One has to be accomplished in fire alarm panel system whether conventional or addressable. Other electrical work is also required for the c...,Delhi
Biomedical Engineer,Skillkraft solutions,BE/B.Tech,"Job Description-
•         
Assisting in biomedical
equipment breakdown maintenance
�...",Pune
Office Assistant,Kridha Decor,Any Graduate,Any fresher or experienced candidate able to handle phone calls and social media marketing and fluent in English and Hindi. The candid...,Delhi
Office Assistant,SS enterprises,B.Com,"Require a graduate female office assistant who look after  office work like accounts .Expert in MS Excel, Word, and routine mailing et...",Delhi
IT Software Developer,Nxexagon Techno solutions,BE/B.Tech,"We are looking for dynamic, highly qualified and committed individuals for appointment on following posts.SOFTWARE DEVELOPER -20 (B.Tech)HR...",Vijayawada
Marketing Executive,Honchi Solution Pvt. Ltd.,B.Com,"Ltd. - Bangalore. Urgent Requirement of Marketing ExecutiveLocation- Indiranagar, BangaloreSalary-10-12kCommunication in Hindi and Kannada ...",Bangalore
Business Associate,The Beginnings INC - Natures estate,12th Pass (HSE),"As Business Associate you should have pleasing personality, Good communication skills, conveniencing skills. Achieve the set targ...",Bangalore
JRF Botany,BHU,MSc,"JRF Botany recruitment in Banaras Hindu UniversityProject entitled : 'Mycotoxins, fungal and heavy metals contamination of s...",Banaras
Office Assistant/Computer Operator /Junior Assistant,Tamil Universtiy,BSc,Office Assistant/Computer Operator /Junior Assistant  recruitment in Tamil UniverstiyComputer Operator/ 01 PostQualifications: Ca...,Thanjavur
OPD Assistant,Ojas Eye Hospital,10th Pass (SSC),"Patient handlingGuide the patient for test, work up,
appointment, consultation, payment etcDoctor’s coordinationPromotion of servicesKeep...",Mumbai
Client Servicing,Indiamart Intermesh Ltd.,B.Com,"- Noida. Retaining and renewing customers as well as maximizing the revenue while up selling.Clarify customer doubts, probe for and co...",Noida
Telecaller,Workonic Sales and Marketing P Ltd,12th Pass (HSE),"telecaller required with good communication skills, fluent and aggressive to sales candidates, job related to credit card sales for all ban...",Chandigarh
Software Engineer,Mooncopula technology,Any Graduate,JOB SUMMARYShould have strong knowledge in jquery and mvc.PREFERRED QUALIFICATIONSB.Tech/ B.E/BCA/ MCA in Computer Science/IT or related fi...,Bhubaneswar
Optometrist,Sai Retina Foundation,Diploma,"The Candidate should be a trained optometrist who has some
experience in the OPD and Camp. Candidate should be
Cheerful, Optimistic, v...",Delhi
Online Marketing Executive,Chandan Jadia Group,Any Graduate,"Job Duties:
Sells products by establishing contact and developing relationships with prospects; recommending solutions.
Maintains...",Mumbai
Research Associate Chemistry,IACS,M Phil / Ph.D,Adv No:CS/JD/026Research Associate Chemistry  recruitment in Indian Association for the Cultivation of Science (IACS) C...,Kolkata
SEO trainee,Kumar associates,BE/B.Tech,"We are hiring for SEO trainee, both M/F candidates can apply, preferring engineering graduates....",Bangalore
Senior Resident,Guru Gobind Singh Govt Hospital - Govt. of Delhi,Diploma,of Delhi - Delhi. No.F.3/3/97/2018/Estt./GGSGH/Interview of SR/Adhoc basis/8368Senior Resident recruitment in Guru Gobind Singh Govt H...,Delhi
HR Executive,Siddharth enterprises,B.Com,We are looking for only female candidates with good communication skill and good knowledge of computers.Experience in General list HR will ...,Navi Mumbai
Sales Manager,Essmart - global,Any Graduate,"Job Description:We're looking for Sales Manager who will be responsible for managing our 2 to 3 branches, including handling Office Admins,...",Coimbatore
Web Developer,Kumar associates,BE/B.Tech,"We are hiring for a Web developer in our office, both M/F candidates can apply, preferring engineering graduates....",Bangalore
Trainee,Interact HR,B.Com,"Underwriting/Insurance Operations Fresher (Maths/Stats/Eco),Fresher(BBA/B.com/B.A) Location - GurgaonCAT Modelling/UnderwritingFr...",Gurgaon
Guest Lecturer,IIT Guwahati,ME/M.Tech,"No.SDAU/CREEE/UG/1506-12/2019Guest Lecturer  recruitment in IIT Guwahati1. Guest Lecturer
(Electrical Engg.) /01 PostQualifi...",Guwahati
Salon manager,Kumar associates,Other Graduate,"We are Hiring Salon manager for international salon, both M/F candidates can apply,...",Bangalore
Hairstyles,Kumar associates,Other Graduate,"We are hiring hairstyles for international salon, both M/F candidates can apply....",Bangalore
Marketing Executive,Sri Sai Ganesh Packaging Industries,B.Com,1 Business to Business Sales. 2 Create a Client Database. 3 day to day create data base and meet Professional people. 4 we g...,Bangalore
Sales Executive,Edutech,Any Post Graduate,"Industry- EducationDesignation- Counselling, Sales executiveExpectations- The Responsibilities Primarily include the inbound, outbound and ...",Pune
Customer Support Executive,Tech Mahindra,Certificate Course (ITI),"Job Designation: Customer Support ExecutiveEligibility & Qualification:Excellent written & verbal communication (English ,Hindi &am...",Ahmedabad
Front End receptionist,Kumar associates,12th Pass (HSE),"We are hiring for Front end receptionist, preferring the only female candidates....",Bangalore
Host Acquisition Specialist,Airbnb India,B.Com,We're looking for a driven and highly motivated Acquisition Specialist to help support the growth of hosts on Airbnb. If you're quick on yo...,Panaji
Advocate,Kumar associates,LLB,"We are hiring for an advocate, both M/F candidates can apply....",Bangalore
Office Assistant,Kumar associates,10th Pass (SSC),"We are hiring for office assistant, preferable only male candidate with a two-wheeler....",Bangalore
Momos Cook,Renovate Career Management Services,Certificate Course (ITI),Greeting Urgent opening for Momos cook in fast food restaurantMaking momos veg and non vegLocation: GhatkoparFree food and accommodati...,Mumbai
Software Developer,Mulberry India,BE/B.Tech,We are looking for a Intern Software Developer to build and implement functional programs. You will work with other Developers and&nbs...,Raipur
sales Executive,Mulberry India,MBA/PGDM,Urgent requirement for Sales Executive ....We are searching for a highly-creative Digital Marketing Manager to lead our marketing team. In ...,Raipur
Student Counsellor,Edujobs Academy,Any Graduate,Urgent opening for Student Counsellor for Bankura & Tamluk Position: CounselorDomain: Skill DevelopmentLocation : Bankura & Ta...,Durgapur
PHP trainee,Code infosys,BCA,"We are looking for trainee in Php, we provide free training + job offersyou will get stipend and salarycandidate should have basic knowledg...",Surat
Junior Project Engineer,IIT Kharagpur,BE/B.Tech,"IIT/SRIC/R/BBN/2019/101Junior Project Engineer - Research jobs opportunity in IIT KharagpurTitle : Development of Facile, Green a...",Kharagpur
Customer Support Executive,Baba Shri Chand Ji Enterprises,Any Graduate,"Urgently Hiring Freshers & Experienced Candidates For Airtel Gold Process,(HIRING FREE OF COST)Location: MohaliEligibility - Minimum Qu...",Mohali
IT Recruiter,AI Cyber Solutions Pvt Ltd,B.Com,Can Apply Fresher / Experienced with Good Communication Skills in English Looking out for an Opportunity to Join our companyWork Location: ...,Chennai
Business Analyst Trainee,Promatics Technologies Private Limited,Diploma,"Responsibilities * Actively involved in project study to capture its scope, facilita...",Ludhiana
Business Developer,PBC Infotech,12th Pass (HSE),"REQUIRED  RELATIONSHIP
EXECUTIVE
Designation: Business Developer
Qualification: Minimum H.S
Age: 18 to 30 Years
Salary:6500/ to ...",Kolkata
Doctor,Nidaan Hospital,MBBS,"Resident doctor (preferably a female doctor) who is willing to work 24x7 and to be able to do OT assistance, indoor and outdoor patient man...",Pune
Field Officer Disaster Management,Assam State Disaster Management Authority,Diploma,"Field Officer
(Disaster Management)   job
opportunities in Assam State Disaster Management Authority (ASDMA)
No. of Post : &nbsp...",Guwahati
Software Developer,Wisteli Informatics Private Ltd.,BE/B.Tech,"- Noida.
Modifying software
to fix errors, adapt it to new hardware, improve its performance, or upgrade
interfaces.
Directing system
te...",Noida
Telesales Executive,EBSOL,Certificate Course (ITI),we are an IT Marketing Company. We are Looking for telecaller/BDE.JD: New Lead generation and follow-up clients on call...,Delhi
Executive,Creazione services privet limited,12th Pass (HSE),"Immediate joining for undergraduate, HS pass candidates in Kolkata, north +south 24 personas.Hooghly Howrah, Nadiya all over west Bengal.We...",Kolkata
Office Boy,Yercaud Electronics Pvt Ltd,10th Pass (SSC),Job DescriptionCollecting and distributing materials to client site.Helping store related activities.Helping the staff in performing their ...,Chennai
Engineer Trainee,Yercaud Electronics Pvt Ltd,BE/B.Tech,"Job SummaryBased knowledge in Telecom, Engineers are placed in corresponding team like Production, Customer Support.Responsibilities and Du...",Chennai
Research Assistant Economics,IIT Kharagpur,M Phil / Ph.D,IIT/SRIC/R/IFI/2019/101Research Assistant Economics jobs opportunity in IIT KharagpurTitle : Assessment of Disparity of Agri...,Kharagpur
Business Development officer,Safehands 24x7 services pvt ltd,B.Com,"Create
and improve proposals for our existing and new clients.
Maintain
a knowledge repository of clients, referrals, prospects and presen...",Hubli-Dharwad
