Title,Company,Qualifications,Description,Location
Software Developer,Margytech Pvt Ltd,BCA,"Job Position : Software Developer - Mid level Job Description : Utilize established development tools, guidelines and conven...",Navi Mumbai
HR Platform - HTML Developer,Reliance Industries,BE/B.Tech,HR Platform - HTML DeveloperFunction/Business Area: IT & SystemsQualifications & Education Requirements: Top schools (IITs NITs) ar...,Navi Mumbai
iOS Developer,Genext Students,Any Post Graduate,iOS Developer Responsibilities :Design and build advanced applications for the iOS platformCollaborate with cross-functional teams to ...,Mumbai
VBA Developer,Capgemini,BE/B.Tech,"VBA DeveloperRequisition Number: 266701Location: Mumbai, MH, INJob description:Key responsibilities include creating prototypes, specifying...",Mumbai
Software Developer,Schoolguru Eduserve Pvt. Ltd.,B.Com,"Ltd. - Mumbai. Role and
Responsibilities:
·        
Understanding business process requirements
...",Mumbai
.Net Developer,Orion Systems Integrators Inc,BE/B.Tech,Net Developer Jobs in Orion Systems Integrators Inc - Mumbai. .Net DeveloperYears of Experience: Minimum 3 yearsJob Description:This fu...,Mumbai
Android Developer,Market Pulse,Any Graduate,"ANDROID DEVELOPERLocation : Bandra West, Mumbai | IndiaOpportunities :Build & Enhance our android appSpearhead & lead our charting ...",Mumbai
Software Developer,Setlmint.com,BCA,com - Mumbai. Must be proficient in back-end and front-end programming . Must be comfortable to create database schemas that represent ...,Mumbai
Software Developer,SILVERBYTE SOFTWARE CONSULTANTS INDIA PVT LTD,Diploma,We require Fresher developer having development experience of vb.net for atleast one year & basic knowledge of microsoft sql Knowl...,Mumbai
Android Developer,BMS COMPUTERS,BE/B.Tech,"Should be ready to work in tough conditions, must be creative and smart enough to understand clients requirement and also able to interact ...",Mumbai
Web Developer,Worldindia.com - Dot Com Services India Pvt. Ltd.,Any Graduate,"com - Dot Com Services India Pvt. Ltd. - Mumbai. Position : Web Developer ( Software Engineer )Job Description : Candidate with exp in C#,AS...",Mumbai
.Net Developer,Capgemini,Any Post Graduate,Net Developer Jobs in Capgemini - Mumbai. .Net DeveloperExperience : 2-4 YearsLocation : MumbaiPrimary Skill: Net Angular MVC SQL Serve...,Mumbai
SSRS Developer,Capgemini,BE/B.Tech,SSRS DeveloperJob Role: SSRS DeveloperJob Description:Soft skills Able to manage the team and interact with business usersStrong problem so...,Mumbai
iOS Developer,Schoolguru Eduserve Pvt. Ltd.,B.Com,Ltd. - Mumbai. Role and Responsibilities:Develop apps for iOSPrepare apps for publishing on app store and get it publishedFunctional/Techni...,Mumbai
Dotnet Developer,Inogic Tech India Pvt Ltd,Diploma,"Dotnet Developer having Experience on Asp.net, C#, SQL
Server, HTML, CSS, Jquery/Javascript.
Linq would be added Advantage.Good Communica...",Mumbai
Software Developer,Quastech,BCA,"Candidate should be a graduate from science or commerce stream
or BAF Fluent in English and one Regional
language across India ( South...",Mumbai
Web Developer,Mobile ERP Solutions Pvt. Ltd,B.Com,"Ltd - Mumbai. Creative bend of mind with strong visualization and good designing skills.. Will be responsible for making layouts, websites,...",Mumbai
Telesales Executive,Aapai Technologies,Other Graduate,Cold CallingMust have knowledge of MS-OfficeExcellent Communication and Interpersonal skillsGood Knowledge of Telephone SystemsMust be a So...,Mumbai
Software Developer,Silver Engineer,Certificate Course (ITI),Job Role-Programming developmentGathering and analyzing data CodingData analysisProject managementSkill-Java SQLData IntegrationE...,Delhi
Full Stack Developer,RebelFoods,BE/B.Tech,We are looking for exceptional and ambitious full-stack developers at different levels who enjoy working both on the back-end :Node.js&nbsp...,Mumbai
Software Engineer - Developer,I9innovations,BE/B.Tech,"Deep knowledge of the .NET 2.0/3.5/4.0 Framework, including Visual Studio 2005/2008/2010, VB.NET/C#.NET, ASP.NET, MVC, ASMX and WCF Web S...",Mumbai
Dot net Developer,Guding star,Diploma,We have following hot opening this week :Dot net mvc : 20 nos 3-6 years experience CTC : 3-7 lacs. Minimum 1 year mvc experi...,Mumbai
Developer / Software Engineer,Capgemini,Any Graduate,"Developer / Software EngineerLocation : Mumbai, MH, INRequisition Number : 301015Roles and Responsibilities :The Senior eLearning Programme...",Mumbai
Full Stack Developer,Techzilla India Infotech,BCA,TECHZILLA INDIA INFOTECHJob Description:We are looking for a Full Stack Developer responsible for developing web applications and mobile ap...,Mumbai
SAP ABAP-Developer,WIPRO,BE/B.Tech,"SAP ABAP-DeveloperLocation: MumbaiJob Code : 1001144Minimum work experience: 3 - 5 YearsMandatory Skills: SAP ABAP SAP ABAP HR, SAP ABAP Pe...",Mumbai
